Statement_id,Category,Technology_Bucket,Organization,Title
SIH25001,Software,MedTech / BioTech / HealthTech,Ministry of Development of North Eastern Region,Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India
SIH25002,Software,Travel & Tourism,Ministry of Development of North Eastern Region,"Smart Tourist Safety Monitoring & Incident Response System using Al, Geo-Fencing, and Blockchain-based Digital ID"
SIH25003,Hardware,Transportation & Logistics,Ministry of Development of North Eastern Region,Low-Cost smart transportation solution for Agri produce from remote farms to nearest motorable road in NER Region
SIH25004,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",lmage based breed recognition for cattle and buffaloes of India
SIH25005,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",lmage based Animal Type Classification for cattle and buffaloes
SIH25006,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for lmplementing Biosecurity ileasures in Pig and Poultry Farms
SIH25007,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for Monitoring aximum Residue Limits (MRL) and Antimicrobial Usage (AMU) in Livestock
SIH25008,Software,Disaster Management,Government of Punjab,Disaster Preparedness and Response Education System for Schools and Colleges
SIH25009,Software,Smart Education,Government of Punjab,Gamified Environmental Education Platform for Schools and Colleges
SIH25010,Software,"Agriculture, FoodTech & Rural Development",Government of Punjab,Smart Crop Advisory System for Small and Marginal Farmers
SIH25011,Software,Smart Education,Government of Punjab,Smart Curriculum Activity & Attendance App
SIH25012,Software,Smart Education,Government of Punjab,Automated Attendance System for Rural Schools
SIH25013,Software,Transportation & Logistics,Government of Punjab,Real-Time Public Transport Tracking for Small Cities
SIH25014,Hardware,Clean & Green Technology,Government of Punjab,Waste Segregation Monitoring System for Urban Local Bodies
SIH25015,Hardware,"Agriculture, FoodTech & Rural Development",Government of Punjab,Intelligent Pesticide Sprinkling System Determined by the Infection Level of a Plant
SIH25016,Software,Smart Education,Government of Punjab,Automated Student Attendance Monitoring and Analytics System for Colleges
SIH25017,Software,Smart Education,Government of Punjab,Digital Platform for Centralized Alumni Data Management and Engagement
SIH25018,Software,MedTech / BioTech / HealthTech,Government of Punjab,Telemedicine Access for Rural Healthcare in Nabha
SIH25019,Software,Smart Education,Government of Punjab,Digital Learning Platform for Rural School Students in Nabha
SIH25020,Hardware,Smart Automation,Ministry of Railways,Development of indigenous contactless Integrated Track Monitoring Systems (ITMS) for Track Recording on Indian Railways
SIH25021,Hardware,Transportation & Logistics,Ministry of Railways,AI based development of Laser based QR Code marking on 'track fittings on Indian Railways'.
SIH25022,Software,Transportation & Logistics,Ministry of Railways,Maximizing Section Throughput Using Al- Powered Precise Train Traffic Control
SIH25023,Software,MedTech / BioTech / HealthTech,Ministry of Ayush,AyurSutra- Panchakarma Patient Management and therapy scheduling Software
SIH25024,Software,MedTech / BioTech / HealthTech,Ministry of Ayush,"Comprehensive Cloud-Based Practice Management & Nutrient Analysis Software for Ayurvedic Dietitians, Tailored for Ayurveda-Focused Diet Plans"
SIH25025,Hardware,MedTech / BioTech / HealthTech,Ministry of Ayush,E tongue for Dravya identification
