Statement_id,Category,Technology_Bucket,Organization,Title
SIH260482,Software,MedTech / BioTech / HealthTech,Ministry of Development of North Eastern Region,Smart Community Health Monitoring and Early Warning System for Water-Borne Diseases in Rural Northeast India
SIH260483,Software,Travel & Tourism,Ministry of Development of North Eastern Region,"Smart Tourist Safety Monitoring & Incident Response System using Al, Geo-Fencing, and Blockchain-based Digital ID"
SIH260484,Hardware,Transportation & Logistics,Ministry of Development of North Eastern Region,Low-Cost smart transportation solution for Agri produce from remote farms to nearest motorable road in NER Region
SIH260485,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",lmage based breed recognition for cattle and buffaloes of India
SIH260486,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",lmage based Animal Type Classification for cattle and buffaloes
SIH260487,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for lmplementing Biosecurity ileasures in Pig and Poultry Farms
SIH260488,Software,"Agriculture, FoodTech & Rural Development","Ministry of Fisheries, Animal Husbandry & Dairying",Development of a Digital Farm Management Portal for Monitoring aximum Residue Limits (MRL) and Antimicrobial Usage (AMU) in Livestock
SIH260489,Software,Disaster Management,Government of Punjab,Disaster Preparedness and Response Education System for Schools and Colleges
SIH260490,Software,Smart Education,Government of Punjab,Gamified Environmental Education Platform for Schools and Colleges
SIH260491,Software,"Agriculture, FoodTech & Rural Development",Government of Punjab,Smart Crop Advisory System for Small and Marginal Farmers
SIH260492,Software,Smart Education,Government of Punjab,Smart Curriculum Activity & Attendance App
SIH260493,Software,Smart Education,Government of Punjab,Automated Attendance System for Rural Schools
SIH260494,Software,Transportation & Logistics,Government of Punjab,Real-Time Public Transport Tracking for Small Cities
SIH260495,Hardware,Clean & Green Technology,Government of Punjab,Waste Segregation Monitoring System for Urban Local Bodies
SIH260496,Hardware,"Agriculture, FoodTech & Rural Development",Government of Punjab,Intelligent Pesticide Sprinkling System Determined by the Infection Level of a Plant
SIH260497,Software,Smart Education,Government of Punjab,Automated Student Attendance Monitoring and Analytics System for Colleges
SIH260498,Software,Smart Education,Government of Punjab,Digital Platform for Centralized Alumni Data Management and Engagement
SIH260499,Software,MedTech / BioTech / HealthTech,Government of Punjab,Telemedicine Access for Rural Healthcare in Nabha
SIH260500,Software,Smart Education,Government of Punjab,Digital Learning Platform for Rural School Students in Nabha
SIH260501,Hardware,Smart Automation,Ministry of Railways,Development of indigenous contactless Integrated Track Monitoring Systems (ITMS) for Track Recording on Indian Railways
SIH260502,Hardware,Transportation & Logistics,Ministry of Railways,AI based development of Laser based QR Code marking on 'track fittings on Indian Railways'.
SIH260503,Software,Transportation & Logistics,Ministry of Railways,Maximizing Section Throughput Using Al- Powered Precise Train Traffic Control
SIH260504,Software,MedTech / BioTech / HealthTech,Ministry of Ayush,AyurSutra- Panchakarma Patient Management and therapy scheduling Software
SIH260505,Software,MedTech / BioTech / HealthTech,Ministry of Ayush,"Comprehensive Cloud-Based Practice Management & Nutrient Analysis Software for Ayurvedic Dietitians, Tailored for Ayurveda-Focused Diet Plans"
SIH260506,Hardware,MedTech / BioTech / HealthTech,Ministry of Ayush,E tongue for Dravya identification
SIH260507,Software,MedTech / BioTech / HealthTech,Ministry of Ayush,Develop API code to integrate NAMASTE and or the International Classification of Diseases (ICD-11) via the Traditional Medicine Module 2 (TM2) into existing EMR systems that comply with Electronic Health Record (EHR) Standards for India.
SIH260508,Software,Blockchain & Cybersecurity,Ministry of Ayush,"Develop a blockchain-based system for botanical traceability of Ayurvedic herbs, including geo-tagging from the point of collection (farmers/wild collectors) to the final Ayurvedic formulation label."
SIH260509,Software,Smart Education,Government of Jharkhand,Smart Classroom & Timetable Scheduler
SIH260510,Software,Smart Education,Government of Jharkhand,Authenticity Validator for Academia
SIH260511,Software,"Agriculture, FoodTech & Rural Development",Government of Jharkhand,Al-Based Crop Recommendation for Farmers
SIH260512,Software,Clean & Green Technology,Government of Jharkhand,Crowdsourced Civic lssue Reporting and Resolution System
SIH260513,Software,Travel & Tourism,Government of Jharkhand,Development of a Smart Digital Platform to Promote Eco & Cultural Tourism in Jharkhand
SIH260514,Software,Smart Automation,Ministry of Corporate Affairs,Al-Based Smart Allocation Engine for PM Internship Scheme
SIH260515,Software,Smart Education,Ministry of Corporate Affairs,Al-Based Internship Recommendation Engine for PM Internship Scheme
SIH260516,Software,Miscellaneous,Ministry of Corporate Affairs,Sentiment analysis of comments received through E-consultation module
SIH260517,Hardware,Miscellaneous,Ministry of Earth Sciences (MoES),Development of Sensor for Detection Of Microplastics
SIH260518,Hardware,Miscellaneous,Ministry of Earth Sciences (MoES),Development of a low-cost camera-based automated beach sand grain size mapping system
SIH260519,Software,Clean & Green Technology,Ministry of Earth Sciences (MoES),Blockchain-Based Blue Carbon Registry and MRV System
SIH260520,Software,Disaster Management,Ministry of Earth Sciences (MoES),Integrated Platform for Crowdsourced Ocean Hazard Reporting and Social Media Analytics
SIH260521,Software,Miscellaneous,Ministry of Earth Sciences (MoES),FloatChat - AI-Powered Conversational Interface for ARGO Ocean Data Discovery and Visualization
SIH260522,Software,Renewable / Sustainable Energy,Ministry of Earth Sciences (MoES),"AI-Driven Unified Data Platform for Oceanographic, Fisheries, and Molecular Biodiversity Insights"
SIH260523,Software,Miscellaneous,Ministry of Earth Sciences (MoES),Identifying Taxonomy and Assessing Biodiversity from eDNA Datasets
SIH260524,Hardware,Smart Automation,Ministry of Earth Sciences (MoES),Embedded Intelligent Microscopy System for Identification and Counting of Microscopic Marine Organisms
SIH260525,Software,"Agriculture, FoodTech & Rural Development",Government of Odisha,Al-Powered Crop Yield Prediction and Optimization
SIH260526,Software,"Agriculture, FoodTech & Rural Development",Government of Odisha,Blockchain-Based Supply Chain Transparency for Agricultural Produce
SIH260527,Hardware,Clean & Green Technology,Government of Odisha,Smart Waste Segregation and Recycling System
